"Age","Wild","BodyCondition","MeanClutchSize","ClutchSize"
4,0,0.152278276626021,0.609300654985501,1
8,0,0.361240770015866,0.415813490263539,1
5,0,0.23740658890456,0.591444859020364,1
9,0,0.362703251186758,0.341436521851155,2
9,1,0.228149296995252,1.16917525968056,1
1,0,0.17507644770667,1.16201189543585,0
6,0,0.412917720526457,0.687863708387324,0
9,1,0.137437994685024,0.975188970730902,0
6,0,0.286711616627872,0.534418111131145,0
5,1,0.304602183960378,3.03194512172304,5
10,0,0.339995583705604,0.267132942479997,0
5,0,0.233129416126758,0.586407013774852,0
7,1,0.295445213466883,1.99549158185556,0
6,1,0.481789530999959,3.53806179617577,2
2,0,0.29316095886752,1.20481004767818,2
9,1,0.45614008884877,1.84463269744446,3
3,0,0.465775274764746,1.39312656639092,1
1,0,0.343493992928416,1.62740705735975,1
4,0,0.264275910612196,0.762274784457189,0
10,1,0.158837876375765,0.833331091290919,0
9,0,0.474119921308011,0.426663276110583,0
7,1,0.22049155998975,1.71769473236954,2
7,1,0.124288228619844,1.41704888242776,0
10,1,0.479090776015073,1.58119604635626,1
7,0,0.388238509371877,0.536052603828267,0
7,1,0.156917718239129,1.51260818627153,1
6,1,0.319713862426579,2.55851682370271,2
6,1,0.481636495422572,3.53697906322127,4
4,0,0.334193341247737,0.876679926327405,0
2,0,0.261804112698883,1.1315724627953,1
10,0,0.359157391730696,0.277569141981116,0
9,0,0.227928246837109,0.260762954062473,0
7,1,0.223088004346937,1.7266377298589,1
8,0,0.187907052505761,0.293996947312412,0
1,0,0.247795546334237,1.34392050551379,1
5,0,0.49368768138811,0.987454719208975,1
8,1,0.161680920328945,1.25027289146317,0
3,0,0.136417599953711,0.720964918150444,2
4,1,0.156762763112783,2.75529778646763,4
3,0,0.376002840604633,1.16416685028882,1
2,0,0.347702593356371,1.34367068590998,2
5,1,0.456557646859437,4.10873540460608,3
5,1,0.369199637044221,3.4500863995877,3
4,1,0.39483109517023,4.43559687841893,7
2,0,0.308454290311784,1.24223053300592,1
