"","Bison","Biomass"
"1",0,1.764854791659
"2",0,1.77575689343724
"3",0,1.72761910326904
"4",0,2.09622491569374
"5",0,2.14839432510658
"6",1,3.00556492504307
"7",1,3.06627594216368
"8",1,3.12882282639828
"9",1,3.49713231228759
"10",1,3.39199634153925
"11",2,4.03833267697839
"12",2,4.31050885442103
"13",2,4.18284845737794
"14",2,4.07172507496028
"15",2,4.03501912721817
"16",3,2.83054644620921
"17",3,3.19564633148017
"18",3,3.36117365182977
"19",3,3.02458296047058
"20",3,2.97404559474482
"21",4,1.95671426817013
"22",4,2.28929563347005
"23",4,2.0819419603112
"24",4,2.18218331439775
"25",4,2.28607163331503
