"Field","Treatment","FieldError","Error","Biomass"
1,0,-2.80237823276106,1.78691313680308,23.984534904042
1,1,-2.80237823276106,0.497850478229239,32.6954722454682
2,0,-1.1508874474164,-1.96661715662964,21.882495395954
2,1,-1.1508874474164,0.701355901563686,34.5504684541473
3,0,7.79354157074562,-0.472791407727934,32.3207501630177
3,1,7.79354157074562,-1.06782370598685,41.7257178647588
4,0,0.35254195712288,-0.217974914658295,25.1345670424646
4,1,0.35254195712288,-1.02600444830724,34.3265375088156
5,0,0.646438675804731,-0.72889122929114,24.9175474465136
5,1,0.646438675804731,-0.625039267849257,35.0213994079555
6,0,8.57532493441641,-1.68669331074241,31.888631623674
6,1,8.57532493441641,0.837787044494525,44.4131119789109
7,0,2.30458102994601,0.153373117836515,27.4579541477825
7,1,2.30458102994601,-1.13813693701195,36.1664440929341
8,0,-6.32530617303267,1.25381492106993,19.9285087480373
8,1,-6.32530617303267,0.426464221476814,29.1011580484441
9,0,-3.43426425946763,-0.295071482992271,21.2706642575401
9,1,-3.43426425946763,0.895125661045022,32.4608614015774
10,0,-2.22830985049979,0.878133487533042,23.6498236370333
10,1,-2.22830985049979,0.821581081637487,33.5932712311377
11,0,6.12040898719731,0.688640254100091,31.8090492412974
11,1,6.12040898719731,0.553917653537589,41.6743266407349
12,0,1.79906913528682,-0.0619117105767217,26.7371574247101
12,1,1.79906913528682,-0.305962663739917,36.4931064715469
13,0,2.00385725297026,-0.380471001012383,26.6233862519579
13,1,2.00385725297026,-0.694706978920513,36.3091502740497
14,0,0.553413579725599,-0.207917278019599,25.345496301706
14,1,0.553413579725599,-1.26539635156826,34.2880172281573
15,0,-2.77920567377037,2.16895596533851,24.3897502915681
15,1,-2.77920567377037,1.20796199830499,33.4287563245346
