"","Bison","Biomass"
"1",0,6.11761035580685
"2",0,5.83463206418665
"3",0,5.84418808801062
"4",0,4.84882717078531
"5",0,5.91456197769307
"6",0,6.07013911255162
"7",0,5.25128667221744
"8",0,5.49490579047431
"9",1,4.72576219752378
"10",1,4.95301889138245
"11",1,5.11316293601471
"12",1,4.99670060997967
"13",1,6.12281813190354
"14",1,5.39702705498725
"15",1,5.59876425063076
"16",1,4.41666731990721
"17",2,4.3570744955887
"18",2,4.22043025938111
"19",2,3.80319551671813
"20",2,4.58209336851111
"21",2,4.58083122579414
"22",2,4.57348218505678
"23",2,4.49486826334464
"24",2,4.32021159723061
"25",3,3.76327461921593
"26",3,3.89912710119674
"27",3,2.67923284996878
"28",3,4.95902779977088
"29",3,3.69562219522865
"30",3,2.94935196736084
"31",3,2.04339134935244
"32",3,3.12932130236033
"33",4,3.50012939083368
"34",4,1.98976498582546
"35",4,1.66700202144699
"36",4,3.38149679459032
"37",4,2.74192247965176
"38",4,2.96712800468738
"39",4,2.48957094681543
"40",4,2.14507754575957
