"Field","Sunlight","FieldXSunError","FieldError","Error","Biomass"
1,0.287577520124614,10,1.89819741379941,1.14880761845109,33.7985554347428
1,0.788305135443807,10,1.89819741379941,0.993503855962119,43.6578039786377
1,0.4089769218117,10,1.89819741379941,0.54839695950807,35.6261328095415
1,0.883017404004931,10,1.89819741379941,0.238731735111441,44.7972772290095
1,0.940467284293845,10,1.89819741379941,-0.627906076039371,45.0796370236369
1,0.0455564993899316,10,1.89819741379941,1.36065244853001,29.169979850128
1,0.528105488047004,10,1.89819741379941,-0.600259587147127,36.8600475875924
1,0.892419044394046,10,1.89819741379941,2.18733299301658,46.9339112946969
1,0.551435014465824,10,1.89819741379941,1.53261062618519,39.4595083293011
1,0.456614735303447,10,1.89819741379941,-0.235700359100477,35.7947917607679
1,0.956833345349878,10,1.89819741379941,-1.02642090030678,45.0084434204902
1,0.453334156190977,10,1.89819741379941,-0.710406563699301,35.2544739739196
1,0.677570635452867,10,1.89819741379941,0.25688370915653,40.7064938320133
1,0.572633401956409,10,1.89819741379941,-0.246691878462374,38.1041735744652
1,0.102924682665616,10,1.89819741379941,-0.347542599397733,28.609148467714
1,0.899824970401824,10,1.89819741379941,-0.951618567265016,43.9430782545709
1,0.24608773435466,10,1.89819741379941,-0.0450277248089203,31.7749243760837
1,0.0420595335308462,10,1.89819741379941,-0.784904469457076,26.9544836149593
1,0.327920719282702,10,1.89819741379941,-1.66794193658814,31.7886698628653
1,0.954503649147227,10,1.89819741379941,-0.380226520287762,45.6080438764562
1,0.889539316063747,10,1.89819741379941,0.918996609060766,45.6079803441351
1,0.6928034061566,10,1.89819741379941,-0.575346962608392,40.178918574323
1,0.640506813768297,10,1.89819741379941,0.607964322225033,40.3162980113904
1,0.994269776623696,10,1.89819741379941,-1.61788270828916,45.1657102379842
1,0.655705799115822,10,1.89819741379941,-0.0555619655245394,39.9567514305913
1,0.708530468167737,10,1.89819741379941,0.519407203943462,41.5882139810976
1,0.544066024711356,10,1.89819741379941,0.301153362166714,38.0806712701932
1,0.59414202044718,10,1.89819741379941,0.105676194148943,38.8867140168919
1,0.28915973729454,10,1.89819741379941,-0.640706008305376,32.0406861513848
1,0.147113647311926,10,1.89819741379941,-0.849704346033582,28.9907660140043
1,0.963024232536554,10,1.89819741379941,-1.02412879060491,45.1345532739256
1,0.902299045119435,10,1.89819741379941,0.117646597100126,45.0618249132882
1,0.690705278422683,10,1.89819741379941,-0.947474614184802,39.7648283680683
1,0.795467417687178,10,1.89819741379941,-0.490557443700668,42.3169883238423
1,0.0246136845089495,10,1.89819741379941,-0.256092192198247,27.1343789117802
1,0.477795971091837,10,1.89819741379941,1.84386200523221,38.2979788408684
