"Site","Heat","Elevation","Treatment","Plot","Sample","SiteError","PlotError","ResidualError","StemDensity"
1,0,0,"HLEL",1,1,-2.24190258620885,0.258575470321892,-1.06782370598685,46.9488491781262
1,0,0,"HLEL",1,2,-2.24190258620885,0.258575470321892,-0.217974914658295,47.7986979694548
1,0,0,"HLEL",1,3,-2.24190258620885,0.258575470321892,-1.02600444830724,46.9906684358058
1,0,0,"HLEL",1,4,-2.24190258620885,0.258575470321892,-0.72889122929114,47.2877816548219
1,1,0,"HHEL",2,1,-2.24190258620885,3.43012997376656,-0.625039267849257,52.5631881197085
1,1,0,"HHEL",2,2,-2.24190258620885,3.43012997376656,-1.68669331074241,51.5015340768153
1,1,0,"HHEL",2,3,-2.24190258620885,3.43012997376656,0.837787044494525,54.0260144320522
1,1,0,"HHEL",2,4,-2.24190258620885,3.43012997376656,0.153373117836515,53.3416005053942
1,0,1,"HLEH",3,1,-2.24190258620885,0.921832411978405,-1.13813693701195,50.5417928887576
1,0,1,"HLEH",3,2,-2.24190258620885,0.921832411978405,1.25381492106993,52.9337447468395
1,0,1,"HLEH",3,3,-2.24190258620885,0.921832411978405,0.426464221476814,52.1063940472464
1,0,1,"HLEH",3,4,-2.24190258620885,0.921832411978405,-0.295071482992271,51.3848583427773
1,1,1,"HHEH",4,1,-2.24190258620885,-2.53012246921307,0.895125661045022,57.1231006056231
1,1,1,"HHEH",4,2,-2.24190258620885,-2.53012246921307,0.878133487533042,57.1061084321111
1,1,1,"HHEH",4,3,-2.24190258620885,-2.53012246921307,0.821581081637487,57.0495560262156
1,1,1,"HHEH",4,4,-2.24190258620885,-2.53012246921307,0.688640254100091,56.9166151986782
2,0,0,"HLEL",1,1,-0.92070995793312,-1.37370570378705,0.553917653537589,48.2595019918174
2,0,0,"HLEL",1,2,-0.92070995793312,-1.37370570378705,-0.0619117105767217,47.6436726277031
2,0,0,"HLEL",1,3,-0.92070995793312,-1.37370570378705,-0.305962663739917,47.3996216745399
2,0,0,"HLEL",1,4,-0.92070995793312,-1.37370570378705,-0.380471001012383,47.3251133372674
2,1,0,"HHEL",2,1,-0.92070995793312,-0.891323940199916,-0.694706978920513,49.4932591229464
2,1,0,"HHEL",2,2,-0.92070995793312,-0.891323940199916,-0.207917278019599,49.9800488238474
2,1,0,"HHEL",2,3,-0.92070995793312,-0.891323940199916,-1.26539635156826,48.9225697502987
2,1,0,"HHEL",2,4,-0.92070995793312,-0.891323940199916,2.16895596533851,52.3569220672055
2,0,1,"HLEH",3,1,-0.92070995793312,2.44816359487892,1.20796199830499,55.7354156352508
2,0,1,"HLEH",3,2,-0.92070995793312,2.44816359487892,-1.12310858320335,53.4043450537425
2,0,1,"HLEH",3,3,-0.92070995793312,2.44816359487892,-0.402884835299076,54.1245688016467
2,0,1,"HLEH",3,4,-0.92070995793312,2.44816359487892,-0.466655353623219,54.0607982833226
2,1,1,"HHEH",4,1,-0.92070995793312,0.719627654114728,0.779965118336318,61.5788828145179
2,1,1,"HHEH",4,2,-0.92070995793312,0.719627654114728,-0.0833690664718293,60.7155486297098
2,1,1,"HHEH",4,3,-0.92070995793312,0.719627654114728,0.253318513994755,61.0522362101764
2,1,1,"HHEH",4,4,-0.92070995793312,0.719627654114728,-0.028546755348703,60.7703709408329
3,0,0,"HLEL",1,1,6.2348332565965,0.801542901188104,-0.0428704572913161,56.9935057004933
3,0,0,"HLEL",1,2,6.2348332565965,0.801542901188104,1.36860228401446,58.4049784417991
3,0,0,"HLEL",1,3,6.2348332565965,0.801542901188104,-0.225770985659268,56.8106051721253
3,0,0,"HLEL",1,4,6.2348332565965,0.801542901188104,1.51647060442954,58.5528467622141
3,1,0,"HHEL",2,1,6.2348332565965,0.221365431890239,-1.54875280423022,56.9074458842565
3,1,0,"HHEL",2,2,6.2348332565965,0.221365431890239,0.584613749636069,59.0408124381228
3,1,0,"HHEL",2,3,6.2348332565965,0.221365431890239,0.123854243844614,58.5800529323313
3,1,0,"HHEL",2,4,6.2348332565965,0.221365431890239,0.215941568743973,58.6721402572307
3,0,1,"HLEH",3,1,6.2348332565965,-1.11168226950815,0.379639482759882,58.5027904698482
3,0,1,"HLEH",3,2,6.2348332565965,-1.11168226950815,-0.502323453109302,57.620827533979
3,0,1,"HLEH",3,3,6.2348332565965,-1.11168226950815,-0.33320738366942,57.7899436034189
3,0,1,"HLEH",3,4,6.2348332565965,-1.11168226950815,-1.01857538310709,57.1045756039813
3,1,1,"HHEH",4,1,6.2348332565965,3.57382627360616,-1.07179122647558,69.7368683037271
3,1,1,"HHEH",4,2,6.2348332565965,3.57382627360616,0.303528641404258,71.1121881716069
3,1,1,"HHEH",4,3,6.2348332565965,3.57382627360616,0.448209778629426,71.2568693088321
3,1,1,"HHEH",4,4,6.2348332565965,3.57382627360616,0.0530042267305041,70.8616637569332
4,0,0,"HLEL",1,1,0.282033565698304,0.995700956458479,0.922267467879738,52.2000019900365
4,0,0,"HLEL",1,2,0.282033565698304,0.995700956458479,2.05008468562714,53.3278192077839
4,0,0,"HLEL",1,3,0.282033565698304,0.995700956458479,-0.491031166056535,50.7867033561002
4,0,0,"HLEL",1,4,0.282033565698304,0.995700956458479,-2.30916887564081,48.968565646516
4,1,0,"HHEL",2,1,0.282033565698304,-3.93323431325928,1.00573852446226,49.3545377769013
4,1,0,"HHEL",2,2,0.282033565698304,-3.93323431325928,-0.709200762582393,47.6395984898566
4,1,0,"HHEL",2,3,0.282033565698304,-3.93323431325928,-0.688008616467358,47.6607906359717
4,1,0,"HHEL",2,4,0.282033565698304,-3.93323431325928,1.0255713696967,49.3743706221357
4,0,1,"HLEH",3,1,0.282033565698304,1.40271180312737,-0.284773007051009,54.3999723617747
4,0,1,"HLEH",3,2,0.282033565698304,1.40271180312737,-1.22071771225454,53.4640276565711
4,0,1,"HLEH",3,3,0.282033565698304,1.40271180312737,0.18130347974915,54.8660488485748
4,0,1,"HLEH",3,4,0.282033565698304,1.40271180312737,-0.138891362439045,54.5458540063866
4,1,1,"HHEH",4,1,0.282033565698304,-0.945582815455868,0.00576418589988693,60.3422149361423
