"Fertilizer","Biomass"
"0",2.63133721341418
"0",0.039359929075178
"0",2.23994751087733
"0",3.40910356921748
"0",0.0561068390282007
"2",5.70178433537471
"2",4.73780251059753
"2",3.42785584085451
"2",3.48533234621825
"2",3.39846382642541
"4",6.2190934778297
"4",5.2882444150041
"4",7.43791677297583
"4",8.85010894052567
"4",5.46296952396482
"6",7.53773884747518
"6",7.51904224100091
"6",7.08220257895012
"6",5.74162339172299
"6",6.63054739336934
"8",5.21960466482975
"8",6.06298953322048
"8",5.12756124389617
"8",6.47697338668562
"8",5.12541914223299
"10",2.80271146557933
"10",0.700822993333934
"10",0.489844755241888
"10",4.9910399349424
"10",1.33314241183957
