"Method","Success"
"Archery",0.219350385596212
"Archery",0.174839695950807
"Archery",0.143873173511144
"Archery",0.0572093923960628
"Archery",0.256065244853001
"Archery",0.0599740412852873
"Archery",0.338733299301658
"Archery",0.273261062618519
"Archery",0.0964299640899523
"Archery",0.0173579099693219
"Archery",0.0489593436300699
"Archery",0.145688370915653
"Archery",0.0953308121537626
"Archery",0.0852457400602267
"Archery",0.0248381432734984
"Muzzleloader",0.565497227519108
"Muzzleloader",0.491509553054292
"Muzzleloader",0.403205806341186
"Muzzleloader",0.531977347971224
"Muzzleloader",0.661899660906077
"Muzzleloader",0.512465303739161
"Muzzleloader",0.630796432222503
"Muzzleloader",0.408211729171084
"Muzzleloader",0.564443803447546
"Muzzleloader",0.621940720394346
"Muzzleloader",0.600115336216671
"Muzzleloader",0.580567619414894
"Muzzleloader",0.505929399169462
"Muzzleloader",0.485029565396642
"Muzzleloader",0.467587120939509
"Rifle",0.731764659710013
"Rifle",0.62525253858152
"Rifle",0.670944255629933
"Rifle",0.694390780780175
"Rifle",0.904386200523221
"Rifle",0.654805009830454
"Rifle",0.743538657228486
"Rifle",0.727796084956371
"Rifle",0.623814336586987
"Rifle",0.71286919138764
"Rifle",0.864455085842335
"Rifle",0.765150405307921
"Rifle",0.724123292199294
"Rifle",0.677750316766037
"Rifle",0.514675277845948
