"","Age","Size"
"1","Juvenile",96.0542293115866
"2","Juvenile",54.0164598666787
"3","Juvenile",49.7968951048378
"4","Juvenile",139.820798698848
"5","Juvenile",66.6628482367914
"6","Juvenile",80.9645518308143
"7","Juvenile",87.731393480677
"8","Juvenile",65.3243874858251
"9","Juvenile",85.3372408862722
"10","Juvenile",82.3792905477017
"11","Juvenile",70.6923898471661
"12","Juvenile",76.3058606705063
"13","Juvenile",74.3186549252307
"14","Juvenile",117.569037980324
"15","Juvenile",60.1732780745434
"16","Juvenile",53.0800746585067
"17","Juvenile",75.7557679834216
"18","Juvenile",81.2096149888627
"19","Juvenile",83.7304695782037
"20","Juvenile",65.8326933457779
"21","Subadult",178.733477320576
"22","Subadult",225.26370352179
"23","Subadult",193.006992240929
"24","Subadult",182.689742746933
"25","Subadult",195.274408621178
"26","Subadult",196.056482113029
"27","Subadult",222.198405794273
"28","Subadult",201.694745843944
"29","Subadult",215.08107570369
"30","Subadult",190.014159656555
"31","Subadult",204.288906191632
"32","Subadult",193.506281770183
"33","Subadult",201.891670563471
"34","Subadult",182.092732840449
"35","Subadult",173.783969333441
"36","Subadult",239.944267694959
"37","Subadult",212.014176473448
"38","Subadult",174.974572767501
"39","Subadult",187.776681666392
"40","Subadult",176.290398308054
"41","Adult",252.384904728552
"42","Adult",254.873748591982
"43","Adult",274.649517569707
"44","Adult",239.678723381104
"45","Adult",230.149856992159
"46","Adult",283.513938648064
"47","Adult",241.176735661894
"48","Adult",235.538680601203
"49","Adult",225.274537622334
"50","Adult",224.305685553644
"51","Adult",238.52053041404
"52","Adult",262.359716343331
"53","Adult",272.196962778594
"54","Adult",264.151767076712
"55","Adult",242.726854058095
"56","Adult",251.194998747692
"57","Adult",235.908070726399
"58","Adult",235.65563676852
"59","Adult",267.693009979538
"60","Adult",229.688148427929
