"Age","Sex","Male","Herma","Size"
8.06117739877664,"Female",0,0,16.1395660480726
1.08486914588138,"Female",0,0,5.06362654787802
8.01159294508398,"Female",0,0,15.4436148883668
7.56451586727053,"Female",0,0,16.0544942000873
6.67118667531759,"Female",0,0,13.1943059500935
5.32819746970199,"Female",0,0,13.556531376947
2.40973166236654,"Female",0,0,7.54234181837713
1.07393967849202,"Female",0,0,5.78254057904141
5.07212554803118,"Female",0,0,11.0173661582551
5.43063995870762,"Female",0,0,11.6864489862508
4.50628400384448,"Female",0,0,9.70581309992253
5.18199347704649,"Female",0,0,11.6266499048716
7.41951100644656,"Female",0,0,15.4644524336094
1.49771733698435,"Female",0,0,6.50601948080563
4.19304787763394,"Female",0,0,9.66434262680712
8.22531045624055,"Female",0,0,15.7070681076776
8.52137953322381,"Female",0,0,16.3803103251614
3.13974464475177,"Female",0,0,9.90646550300474
4.18587492359802,"Female",0,0,9.36896948886444
8.71196878142655,"Female",0,0,16.9247118966357
8.68387036421336,"Female",0,0,18.5476950036632
3.66305909864604,"Female",0,0,9.41380873970602
2.32343492121436,"Female",0,0,6.39727981876442
7.3359285518527,"Female",0,0,14.4720772795598
1.93426019395702,"Female",0,0,7.28975827405943
1.30354995699599,"Female",0,0,5.65484263815817
9.994640751509,"Female",0,0,18.5424600364237
1.31387323676609,"Female",0,0,5.69567606784636
4.04552155383863,"Female",0,0,10.1406796484693
9.23557385476306,"Female",0,0,19.1321677990613
6.55511742667295,"Female",0,0,13.7618240502983
3.57656813832,"Female",0,0,10.2294918044012
7.64017662708648,"Female",0,0,15.9648682331502
8.50648878258653,"Female",0,0,16.6688212574749
3.82843702379614,"Female",0,0,8.51633393338173
5.43309893039986,"Female",0,0,11.7327545415578
7.27636389597319,"Female",0,0,14.522649481449
6.77316118590534,"Female",0,0,14.1974653250672
6.79530623485334,"Female",0,0,15.2331182944135
9.80068064341322,"Female",0,0,20.5354841441847
4.73261801013723,"Female",0,0,12.3369918623929
2.07464301981963,"Female",0,0,7.00544375826629
5.7342669412028,"Female",0,0,11.1961784953581
3.0256601574365,"Female",0,0,8.22746634489736
5.37770587648265,"Female",0,0,12.1379245931826
4.33193318638951,"Female",0,0,11.1739101828382
9.85015162709169,"Female",0,0,19.545249815425
