"","PreyDensity","LitterSize"
"1",5.26590079534799,7
"2",0.607822248712182,1
"3",9.69038863666356,6
"4",1.20237128576264,3
"5",0.883633010089397,1
"6",8.80764114903286,6
"7",5.08370629744604,8
"8",3.37494997307658,3
"9",8.94334625452757,5
"10",0.319716280791909,2
"11",2.37229697406292,2
"12",6.86490351101384,5
"13",2.25818423321471,2
"14",3.18494588136673,9
"15",1.73983816755936,8
"16",8.0142958369106,5
"17",1.4628205797635,2
"18",8.22717391652986,5
"19",3.30997828627005,4
"20",3.74169387854636,4
"21",6.29745423793793,4
"22",0.966337430290878,2
"23",0.219937153160572,2
"24",9.93044780334458,7
"25",5.83938845666125,4
"26",7.81823065131903,11
"27",8.91896122600883,8
"28",7.54865453578532,5
"29",9.79203730123118,7
"30",0.441470679361373,1
"31",9.0340088470839,6
"32",8.65500814048573,6
"33",7.75407591369003,5
"34",3.76816416857764,3
"35",0.42108048684895,4
"36",3.64411081653088,3
"37",2.73751269793138,2
"38",8.5046748071909,5
"39",3.62401712452993,4
"40",3.04477790603414,3
"41",7.59135339409113,7
"42",8.44834624323994,5
"43",4.5792156108655,5
"44",7.2963166446425,5
"45",1.04078636039048,2
"46",2.19983177725226,3
"47",9.53951247734949,10
"48",7.52037541242316,6
"49",8.18955383263528,6
"50",4.17777101742104,3
"51",5.93838493106887,6
"52",7.98823557794094,6
"53",8.88408650411293,6
"54",3.85191593319178,5
"55",0.903220842592418,2
"56",6.25743637094274,4
"57",7.45636217296124,6
"58",0.85378457326442,2
"59",3.00517611205578,3
"60",6.14562157308683,5
"61",7.52932057948783,7
"62",9.1705713304691,6
"63",4.75750505691394,4
"64",5.67119466140866,4
"65",7.36620346084237,5
"66",8.57447424437851,6
"67",9.09146504476666,6
"68",0.563822253607213,2
"69",5.02908304100856,4
"70",3.50544773042202,3
"71",8.45556122949347,12
"72",8.06435163831338,5
"73",1.1733122728765,2
"74",7.12686554994434,5
"75",2.35268858028576,2
"76",0.749567511957139,5
"77",9.35646147234365,6
"78",1.57167825149372,2
"79",6.47057350026444,6
"80",1.73517746152356,2
"81",0.200740091968328,1
"82",5.21313846344128,9
"83",0.862778932787478,1
"84",2.83002346055582,5
"85",4.20434901025146,5
"86",5.87278124177828,4
"87",8.06694429600611,5
"88",2.01995208859444,2
"89",4.59424671716988,4
"90",4.48143113870174,3
"91",7.33747758204117,6
"92",7.14754810556769,5
"93",8.31221978878602,6
"94",8.86566120898351,10
"95",9.52644573990256,7
"96",5.50616721855476,5
"97",5.22335766116157,4
"98",1.70698255300522,2
"99",4.79271559976041,3
"100",2.53820796497166,3
