"","Age","BasalArea"
"1",0,2
"2",1,4.1194998747692
"3",2,4.71030694740906
"4",3,5.27587062426104
"5",4,9.04517162221488
"6",5,9.01398646500779
"7",6,14.9245743959927
"8",7,16.743935208061
"9",8,19.1730128613194
"10",9,19.6959574518403
"11",10,20.5471800723138
"12",11,19.9131478077033
"13",12,21.5472970309578
"14",13,24.3852618408068
"15",14,27.0338705291295
"16",15,27.47079755502
"17",16,27.893553613312
"18",17,28.8891561766263
"19",18,33.881277516319
"20",19,33.6066702749875
"21",20,35.2485670862271
"22",21,41.053290729585
"23",22,42.8513409589273
"24",23,42.1316595512845
"25",24,42.8021206807364
"26",25,45.7730406385462
"27",26,47.0218348952066
"28",27,47.8980821681071
"29",28,49.2102476998502
"30",29,51.3912409941286
"31",30,56.5882585364202
"32",31,58.4111283121425
"33",32,62.5727273044455
"34",33,65.8342355357466
"35",34,67.6069557447344
"36",35,66.5411517389532
"37",36,67.4989171038481
"38",37,68.5191761975712
"39",38,70.6134850630942
"40",39,75.2138824184279
"41",40,81.8000403660901
"42",41,86.8952024840576
"43",42,88.6289005553997
"44",43,87.1158457642844
"45",44,88.338286036141
"46",45,90.5167004822875
"47",46,94.2067264904224
"48",47,98.131782427391
"49",48,101.500401286224
"50",49,100.709852586625
"51",50,104.409138677892
"52",51,105.516024245037
"53",52,107.86562964536
"54",53,110.014731999707
"55",54,112.871065529648
"56",55,114.9204154953
"57",56,113.585465300129
"58",57,117.058457229676
"59",58,119.830510366375
"60",59,121.299207115819
"61",60,123.535496137912
"62",61,125.803573428649
"63",62,128.245612365771
"64",63,133.527304697726
"65",64,135.089203939859
"66",65,137.425334707629
"67",66,141.762102453767
"68",67,145.870464500521
"69",68,150.160990721281
"70",69,151.006054719162
"71",70,157.011020179748
