"","Fertilizer","Biomass"
"1","0",2.63133721341418
"2","0",0.039359929075178
"3","0",2.23994751087733
"4","0",3.40910356921748
"5","0",0.0561068390282007
"6","2",5.70178433537471
"7","2",4.73780251059753
"8","2",3.42785584085451
"9","2",3.48533234621825
"10","2",3.39846382642541
"11","4",6.2190934778297
"12","4",5.2882444150041
"13","4",7.43791677297583
"14","4",8.85010894052567
"15","4",5.46296952396482
"16","6",7.53773884747518
"17","6",7.51904224100091
"18","6",7.08220257895012
"19","6",5.74162339172299
"20","6",6.63054739336934
"21","8",5.21960466482975
"22","8",6.06298953322048
"23","8",5.12756124389617
"24","8",6.47697338668562
"25","8",5.12541914223299
"26","10",2.80271146557933
"27","10",0.700822993333934
"28","10",0.489844755241888
"29","10",4.9910399349424
"30","10",1.33314241183957
