"Fields","Treatment","FieldError","ResidError","TrtMnt","Density"
1,"Control",-1.96166476293274,-1.37370570378705,0,16.6646295332802
1,"Pesticide",-1.96166476293274,-0.891323940199916,1,11.1470112968673
1,"PrBurn",-1.96166476293274,2.44816359487892,1,14.4864988319462
2,"Control",-0.80562121319148,0.719627654114728,0,19.9140064409232
2,"Pesticide",-0.80562121319148,0.801542901188104,1,13.9959216879966
2,"PrBurn",-0.80562121319148,0.221365431890239,1,13.4157442186988
3,"Control",5.45547909952193,-1.11168226950815,0,24.3437968300138
3,"Pesticide",5.45547909952193,3.57382627360616,1,23.0293053731281
3,"PrBurn",5.45547909952193,0.995700956458479,1,20.4511800559804
4,"Control",0.246779369986016,-3.93323431325928,0,16.3135450567267
4,"Pesticide",0.246779369986016,1.40271180312737,1,15.6494911731134
4,"PrBurn",0.246779369986016,-0.945582815455868,1,13.3011965545301
5,"Control",0.452507073063312,-2.13564741197369,0,18.3168596610896
5,"Pesticide",0.452507073063312,-0.43594982931659,1,14.0165572437467
5,"PrBurn",0.452507073063312,-2.05200889661448,1,12.4004981764488
6,"Control",6.00272745409148,-1.45778245858228,0,24.5449449955092
6,"Pesticide",6.00272745409148,-1.25007853569851,1,18.752648918393
6,"PrBurn",6.00272745409148,-3.37338662148483,1,16.6293408326067
7,"Control",1.61320672096221,1.67557408898905,0,23.2887808099513
7,"Pesticide",1.61320672096221,0.30674623567303,1,15.9199529566352
7,"PrBurn",1.61320672096221,-2.2762738740239,1,13.3369328469383
8,"Control",-4.42771432112287,2.50762984213985,0,18.079915521017
8,"Pesticide",-4.42771432112287,0.852928442953627,1,10.4252141218308
8,"PrBurn",-4.42771432112287,-0.590142965984542,1,8.98214271289259
