"Habitat","QuailDensity"
"Agriculture",0.875331851399475
"Agriculture",0.84714532446513
"Agriculture",0.845712954270868
"Agriculture",0.986860228401446
"Agriculture",0.827422901434073
"Agriculture",1.00164706044295
"Agriculture",0.695124719576978
"Agriculture",0.908461374963607
"Agriculture",0.862385424384461
"Agriculture",0.871594156874397
"ClosedPine",0.637963948275988
"ClosedPine",0.54976765468907
"ClosedPine",0.566679261633058
"ClosedPine",0.498142461689291
"ClosedPine",0.492820877352442
"ClosedPine",0.630352864140426
"ClosedPine",0.644820977862943
"ClosedPine",0.60530042267305
"ClosedPine",0.692226746787974
"ClosedPine",0.805008468562714
"OpenPine",0.450896883394346
"OpenPine",0.269083112435919
"OpenPine",0.600573852446226
"OpenPine",0.429079923741761
"OpenPine",0.431199138353264
"OpenPine",0.60255713696967
"OpenPine",0.471522699294899
"OpenPine",0.377928228774546
"OpenPine",0.518130347974915
"OpenPine",0.486110863756096
"Sagebrush",0.700576418589989
"Sagebrush",0.738528040112633
"Sagebrush",0.662933996820759
"Sagebrush",0.764437654851883
"Sagebrush",0.677951343818125
"Sagebrush",0.73317819639157
"Sagebrush",0.809683901314935
"Sagebrush",0.74351814908338
"Sagebrush",0.667406841446877
"Sagebrush",0.814880761845109
