"RoadDensity","ForestType","Squirrels"
2.87577520124614,"Aspen",8.98857662085374
7.88305135443807,"Aspen",5.7634028397887
4.089769218117,"Aspen",8.85024105198652
8.83017404004931,"Aspen",6.46304646750839
9.40467284293845,"Aspen",6.11924466016826
0.455564993899316,"Aspen",10.4608577571504
5.28105488047004,"Aspen",7.91339021330257
8.92419044394046,"Aspen",5.47599306745305
5.51435014465824,"Aspen",6.93686226393096
4.56614735303447,"Aspen",7.33645532247038
9.56833345349878,"Aspen",4.5211262943301
4.53334156190977,"Aspen",7.52541194102552
6.77570635452867,"Aspen",5.3467504711674
5.72633401956409,"Aspen",9.30578895555647
1.02924682665616,"Aspen",10.6933385849769
8.99824970401824,"Aspen",4.37776656478753
2.4608773435466,"Aspen",8.36667649292762
0.420595335308462,"Aspen",9.32304697872255
3.27920719282702,"Aspen",9.14036152192281
9.54503649147227,"Aspen",5.14411268779203
8.89539316063747,"Aspen",5.80562193367602
6.928034061566,"Aspen",6.5074362138683
6.40506813768297,"Aspen",6.7545954738672
9.94269776623696,"Aspen",6.39725340089598
6.55705799115822,"Aspen",6.49570001876162
7.08530468167737,"Aspen",7.97381826359085
5.44066024711356,"Aspen",5.730917072213
5.9414202044718,"Aspen",7.61390364740017
2.8915973729454,"Aspen",8.67805555737191
1.47113647311926,"Aspen",9.48037333218434
9.63024232536554,"Pine",1.74939715739434
9.02299045119435,"Pine",1.47468609569635
6.90705278422683,"Pine",3.75973983210375
7.95467417687178,"Pine",2.02675044002113
0.246136845089495,"Pine",9.68207192843493
4.77795971091837,"Pine",6.52556893048589
7.58459537522867,"Pine",3.86361440340075
2.16407935833558,"Pine",8.88892486839492
3.18181007634848,"Pine",8.74045739153125
2.31625785352662,"Pine",10.7338268321005
1.42800022382289,"Pine",9.08096861012057
4.14546335814521,"Pine",4.54536776621398
4.13724326295778,"Pine",7.86849526150448
3.68845450924709,"Pine",6.60234472817051
1.52444747742265,"Pine",8.78754390610999
1.3880606344901,"Pine",10.6375107352066
2.33034099452198,"Pine",8.38488599842702
4.65962450252846,"Pine",5.11965778521701
2.65972640365362,"Pine",8.52157707609553
8.57827715342864,"Pine",2.28283148413231
0.458311666734517,"Pine",10.5474525191654
4.42200074205175,"Pine",6.96327965907458
7.98924845643342,"Pine",2.64009151177418
1.2189925997518,"Pine",10.425383948767
5.60947983758524,"Pine",5.17003360059601
2.0653138961643,"Pine",9.2664680677514
1.27531650243327,"Pine",10.8215225107161
7.53307864302769,"Pine",3.90210284780611
8.950453591533,"Pine",1.72361482293577
3.74462775886059,"Pine",8.40417985959051
