"","Age","Sex","Male","Size"
"1",8.55790988309309,"Female",0,18.6772472344859
"2",3.81203348422423,"Female",0,8.41430897692649
"3",7.37461289996281,"Female",0,14.4915104726092
"4",3.3851602547802,"Female",0,6.558586386535
"5",6.34908874635585,"Female",0,12.416948553852
"6",5.33160820440389,"Female",0,11.2384911910715
"7",3.38529458316043,"Female",0,6.60118469832414
"8",6.08131391298957,"Female",0,13.7129612443598
"9",9.218694007257,"Female",0,21.1174751669345
"10",9.11686950549483,"Female",0,18.2041146301615
"11",3.46749959350564,"Female",0,8.56519026499141
"12",3.89334480767138,"Female",0,9.40192340814349
"13",9.87076795939356,"Female",0,21.0072979819472
"14",6.57993979169987,"Female",0,13.3531782967781
"15",9.43582680239342,"Female",0,19.7760915194823
"16",5.19879432092421,"Female",0,11.1732723737122
"17",4.661493339343,"Female",0,10.7733783052624
"18",6.93307291786186,"Female",0,14.5681948308407
"19",2.37111955159344,"Female",0,6.52381781253537
"20",6.15580352395773,"Female",0,13.0119423617018
"21",3.1485342415981,"Female",0,8.13923765565966
"22",9.6612304279115,"Female",0,19.4831192504902
"23",6.41229153377935,"Female",0,12.8164588717522
"24",5.63526754523627,"Female",0,14.8633670384265
"25",4.62316007982008,"Female",0,9.91283408911182
"26",8.92221887107007,"Female",0,19.0830198153727
"27",4.27682678308338,"Female",0,10.0629093053938
"28",3.5941535262391,"Female",0,7.8012825519112
"29",2.53580711595714,"Female",0,6.48510386736517
"30",2.54954571742564,"Female",0,6.39426305675936
"31",5.33838344970718,"Female",0,11.504462493301
"32",3.27668435662054,"Female",0,7.60560314006132
"33",2.94629310653545,"Female",0,6.86533241008013
"34",7.06938749272376,"Female",0,16.8415365046605
"35",1.42897264682688,"Female",0,3.26487641663549
"36",7.30767778726295,"Female",0,14.7385585608662
"37",4.16699774609879,"Female",0,9.36422621153444
"38",4.68049598135985,"Female",0,10.6093765622742
"39",8.38856191560626,"Female",0,18.1263426143407
"40",9.26971613336354,"Female",0,19.1727400005582
"41",3.54275497095659,"Female",0,7.23484903473623
"42",9.64994314336218,"Female",0,21.310434427596
"43",7.55554985441267,"Female",0,15.8313793984625
"44",7.17737573804334,"Female",0,14.662341185964
"45",1.47559548495337,"Female",0,3.76216731475387
"46",4.55698121176101,"Female",0,9.95622170804318
"47",5.30060841864906,"Female",0,12.489153069069
"48",6.04227937315591,"Female",0,13.1523485800696
"49",7.28435435378924,"Female",0,16.1719517357261
"50",9.24115184578113,"Female",0,19.0828700778245
"51",6.5651610463392,"Male",1,24.8670393866829
"52",4.85579357878305,"Male",1,19.3076320071565
"53",5.87872330495156,"Male",1,22.7118367373935
"54",1.52630639728159,"Male",1,8.86262850546273
"55",3.34771171351895,"Male",1,13.9944939138945
"56",4.57436757977121,"Male",1,20.320873447112
"57",2.77970263012685,"Male",1,13.8196749493185
"58",8.48734806547873,"Male",1,29.4610271071362
"59",2.3759850054048,"Male",1,11.6390222828701
"60",8.2307668782305,"Male",1,28.7439165670136
"61",5.92143540899269,"Male",1,24.5233545060851
"62",6.96085877809674,"Male",1,26.932506715437
"63",2.54528644494712,"Male",1,12.4237432894843
"64",6.69749823841266,"Male",1,25.5270499626237
"65",3.80682772095315,"Male",1,16.0890112045244
"66",7.52098911767825,"Male",1,27.1819698373423
"67",4.59045842196792,"Male",1,18.1404929956236
"68",9.72420770023018,"Male",1,33.6969292867229
"69",9.70658533554524,"Male",1,35.4404819805051
"70",7.54032285115682,"Male",1,27.5777460534021
"71",3.31495071807876,"Male",1,15.0402483433784
"72",2.99609141191468,"Male",1,14.1832241794233
"73",6.33741086511873,"Male",1,24.9982132981445
"74",3.40769288921729,"Male",1,14.810227602896
"75",5.77963358978741,"Male",1,21.5448950490486
"76",8.06762504158542,"Male",1,30.5434326706788
"77",2.51254729484208,"Male",1,12.184711311002
"78",4.63959262915887,"Male",1,18.3403251115247
"79",5.2441864986904,"Male",1,19.7435410009646
"80",8.8129612619523,"Male",1,30.4111112080027
"81",9.3313716026023,"Male",1,32.5349360243685
"82",8.93779803370126,"Male",1,32.307782754837
"83",7.06768158264458,"Male",1,27.0909232590775
"84",9.55150281405076,"Male",1,34.2205791252208
"85",5.6480040482711,"Male",1,21.6530863071371
"86",6.18867119168863,"Male",1,23.6138135249736
"87",4.02698085317388,"Male",1,16.5172653885776
"88",4.12592168268748,"Male",1,16.8039905188032
"89",1.18021870497614,"Male",1,9.24837651410996
"90",5.52531741070561,"Male",1,20.763478169234
"91",8.83939072280191,"Male",1,33.0824073407997
"92",1.05670705554076,"Male",1,8.09786549144959
"93",1.64851411595009,"Male",1,10.1171734091537
"94",2.47790102497675,"Male",1,11.8428809111386
"95",7.93300666846335,"Male",1,28.3395090535794
"96",7.61665875231847,"Male",1,26.7963633511112
"97",9.74688072106801,"Male",1,34.0943018525059
"98",5.19825139152817,"Male",1,20.9299400985241
"99",1.66946061979979,"Male",1,10.2678253347285
"100",6.83936311886646,"Male",1,24.8928601669556
