"","Elevation","Size"
"1",898,15.15889014573
"2",2376,15.1130064082857
"3",1256,26.2243033492318
"4",2655,11.6584818966713
"5",2824,16.280742028099
"6",184,29.3278091083946
"7",1608,17.887125573356
"8",2683,10.517796480893
"9",1677,14.9991528236297
"10",1397,21.0302998945244
"11",2873,15.2489856416511
"12",1387,15.8036181822511
"13",2049,16.2314138293577
"14",1739,18.7134832356961
"15",354,27.6385438557291
"16",2704,16.8531744393056
"17",776,24.6279974807576
"18",174,22.9797705782528
"19",1017,18.4148005224693
"20",2866,9.46948998554701
"21",2674,14.7204134122374
"22",2094,15.4566477343076
"23",1939,18.2967721638076
"24",2983,23.5179933883341
"25",1984,29.4813948691555
"26",2140,25.5979052949188
"27",1655,17.6792451783553
"28",1803,9.41436302221181
"29",903,17.1531006796413
"30",484,19.9620361153665
"31",2891,21.3340650203372
"32",2712,22.1006398424214
"33",2088,21.3335471470823
"34",2397,10.6266282510027
"35",123,24.1252152281668
"36",1459,16.3082139178639
"37",2287,18.5870135008063
"38",688,19.6847558858687
"39",989,21.1518338248525
"40",733,19.3903749141307
"41",471,11.1916245120717
"42",1273,22.4094798238672
"43",1270,20.6601328417484
"44",1138,17.5337418736089
"45",500,20.0907225552334
"46",459,20.2111932268423
"47",737,20.368097342805
"48",1425,26.7792308298874
"49",835,18.0697481053326
"50",2581,18.2593269194233
"51",185,25.6569193653455
"52",1354,23.9169051168846
"53",2407,23.3193155519018
"54",410,16.7026599947022
"55",1705,28.3074136514641
"56",659,19.6745043546509
"57",426,28.9082592235343
"58",2272,10.9734865698464
"59",2690,17.4149179317712
"60",1155,25.0945728548461
"61",2012,14.411789063886
"62",330,15.9065551589113
"63",1183,14.1243064819655
"64",859,13.8784336033063
"65",2453,15.361202334098
"66",1373,20.2828958647949
"67",2440,7.4889475103964
"68",2447,18.6129021668615
"69",2393,23.7903752320829
"70",1348,28.8398700912022
"71",2276,24.2298799610029
"72",1906,21.8778738189798
"73",2145,9.22134800442835
"74",52,16.9404664599661
"75",1452,16.7877677170869
"76",699,22.8186195137845
"77",1170,18.3016433299811
"78",1858,11.8487568596991
"79",1088,27.3341785404706
"80",378,24.1789564589798
"81",769,20.4181513624551
"82",2021,24.0695430516291
"83",1282,12.0241285638251
"84",2375,20.929101488949
"85",353,17.0324381184329
"86",1333,22.0857276092536
"87",2956,16.7398902266996
"88",2685,20.4798035651573
"89",2665,24.012588075297
"90",566,19.4704504515845
"91",436,24.6517931847605
"92",1977,12.0808298242601
"93",1063,15.3289777978199
"94",1987,25.6090885569409
"95",995,20.8919398651196
"96",604,9.13488589783135
"97",2358,10.8218127395881
"98",326,18.6700949220544
"99",1427,22.9018970216724
"100",1559,17.9315837214239
"101",1820,21.3009373601033
"102",1032,23.7630268889391
"103",1491,26.8642741443147
"104",2866,17.4140836663748
"105",1475,18.2650904690955
"106",2677,8.55681320428865
"107",2748,17.7486379704391
"108",1846,15.2947497105222
"109",1262,13.8679520859795
"110",484,18.6164688447623
"111",2809,22.2657158637183
"112",939,9.09725755655709
"113",229,17.6346035639729
"114",2846,17.7371864179135
"115",2176,13.3579621497252
"116",470,21.1995147124961
"117",1670,20.3871496030787
"118",2865,16.96981920362
"119",1777,5.89350903119986
"120",1243,31.6142907293332
"121",1961,17.012503712659
"122",993,22.2629664079384
"123",958,20.4108324551827
"124",698,24.4253661740917
"125",1140,22.9482972318704
"126",2953,15.9980341438575
"127",505,21.3858388610425
"128",319,14.9539558443805
"129",469,23.8156150544966
"130",2086,15.6088083055782
"131",1877,30.2068667689411
"132",2680,9.06475552155906
"133",2035,15.6450637851699
"134",2224,21.9028993137962
"135",1587,20.9636627343933
"136",1997,15.055594807425
"137",2474,12.5420962889624
"138",2370,18.3523785235535
"139",2940,16.9884629341654
"140",1346,9.7025938136797
"141",970,19.2027553356693
"142",1258,19.6931515784623
"143",81,20.7926319849092
"144",592,14.1329147869866
"145",2536,19.8446663915131
"146",732,26.1608506847962
"147",755,21.5261820158991
"148",276,14.0460576481283
"149",775,17.0467726515405
"150",2210,19.520518097768
"151",2550,14.2147718434087
"152",1518,7.69376832492361
"153",1194,23.227254100141
"154",777,15.0756119418774
"155",378,16.7541986461586
"156",1200,26.3195030450227
"157",1737,14.392275351973
"158",690,23.5386577009465
"159",1362,12.3345856059061
"160",693,17.5342879846301
"161",1532,18.1002199043176
"162",1094,13.0627428778782
"163",1967,14.8592586754555
"164",1155,18.7007922353584
"165",1099,22.2544798436696
"166",1624,10.1232672828745
"167",2234,16.0172288039437
"168",702,23.0800321927274
"169",1268,16.037954200112
"170",834,20.3024596083647
"171",1908,20.5531428503222
"172",592,20.7471750766584
"173",2598,20.6682883973569
"174",2252,17.1344566951131
"175",2021,15.9106174320394
"176",1873,4.91125523985511
"177",1148,18.3872949076026
"178",1613,20.5384234817999
"179",2630,20.0469942043408
"180",1766,15.4576082434337
"181",2527,26.3705145488757
"182",972,20.4601220981441
"183",2139,18.4925792922944
"184",832,25.5293338973426
"185",1803,14.6046688934037
"186",1470,16.2783068803764
"187",832,31.1552624002488
"188",1716,18.3396459361044
"189",2744,25.4238421070415
"190",2711,10.0964667754274
"191",859,18.1884159897855
"192",998,20.8941195181842
"193",2958,18.542192726029
"194",1879,13.0928187024458
"195",2815,17.2812963731269
"196",1426,13.1868967344401
"197",1250,22.3135166262214
"198",1995,23.4288754493032
"199",499,8.37606151756294
"200",1740,24.4384673115007
"201",754,13.0407775159575
"202",2889,19.3848463449132
"203",1824,21.475513190713
"204",1569,17.4315508594928
"205",1238,15.536430215701
"206",2647,18.1796051062103
"207",1124,21.0700935035723
"208",900,23.5165140997435
"209",553,9.18531508049024
"210",558,11.2601036597049
"211",1472,25.6800117059409
"212",796,24.4371442355577
"213",688,21.4884447445384
"214",2039,21.5368920355553
"215",191,24.394874588205
"216",2118,4.5773860076716
"217",1088,24.4633854831941
"218",1256,16.3190620171884
"219",2472,18.681084153156
"220",2761,15.7632109955821
"221",883,23.4768247703937
"222",2885,15.3726377552219
"223",2199,20.3935188294412
"224",2075,15.9715751068051
"225",206,14.3300639544925
"226",1216,24.8340525522013
"227",1460,22.2445000563714
"228",1703,26.9183111957823
"229",2110,18.2157696628965
"230",2751,22.8740137291409
"231",1874,28.0030952700954
"232",1314,17.2785894248052
"233",1649,11.7362444362239
"234",223,18.5802421643094
"235",820,18.1097938000731
"236",1222,19.5364025225466
"237",633,27.9285248865964
"238",2504,15.8652805374733
"239",501,21.3640232790246
"240",2420,16.4415796755223
"241",1663,18.4392535426252
"242",2004,19.5662883175313
"243",557,26.0840734801849
"244",1918,18.6885918874539
"245",970,22.5942116001556
"246",2187,21.7073001489177
"247",1227,23.3468663542782
"248",2910,14.2180272390781
"249",2904,25.2304060709734
"250",2194,15.9012163035299
"251",809,18.6620791617512
"252",704,26.3162513385709
"253",1799,24.6714195307279
"254",839,13.7110406379438
"255",1617,14.0176449979127
"256",2367,10.8426047031469
"257",546,20.3632359630992
"258",1243,19.5812043395923
"259",1441,20.3795734367753
"260",2611,20.1497885710928
"261",2781,14.2095357700749
"262",2652,12.3795070445064
"263",2039,23.0949252803745
"264",2853,20.9023065130316
"265",1574,10.8801673133565
"266",1751,17.7732627457536
"267",1042,14.4782608862175
"268",1075,8.57124464729018
"269",109,20.6416006559407
"270",1533,18.0709414537071
"271",2620,16.8931536624346
"272",69,21.0117627090062
"273",263,24.1493258219829
"274",534,20.4939875224169
"275",2322,14.5958207856324
"276",2219,14.1070037403936
"277",2917,16.4239860347941
"278",1426,20.1240849328948
"279",269,14.5325982364898
"280",1964,17.1144556557881
"281",2288,22.5483363008396
"282",454,19.0045995438276
"283",1220,15.287896662028
"284",714,17.9062741578723
"285",221,25.3522427268099
"286",1218,21.5322198060707
"287",242,25.941379000408
"288",716,19.9794892858089
"289",211,21.8403754824521
"290",2027,15.1807154382593
"291",928,22.0988533446517
"292",347,17.1213322890538
"293",262,12.6351724765213
"294",2647,17.9929648284206
"295",2275,27.4542560886572
"296",2459,21.5455716978653
"297",2947,22.8792669497313
"298",356,21.4382786154658
"299",342,16.6152141084189
"300",2407,16.5817957244486
"301",2364,16.2697594659404
"302",78,17.5785011010896
"303",2348,21.1728364196486
"304",2202,11.8111824881729
"305",1909,22.4228306605639
"306",1469,22.8517624311295
"307",512,13.4948882046563
"308",74,23.1234599895027
"309",1385,30.7661332617225
"310",1502,15.711922590292
"311",1199,23.0255212070404
"312",1421,14.667990771903
"313",2154,23.399557091014
"314",213,21.0361235996328
"315",1097,27.1625769581158
"316",2418,10.2871463573154
"317",2515,17.2285105693732
"318",751,16.614374119372
"319",1094,17.9196756546185
"320",2578,14.27410628657
"321",2569,13.261782097325
"322",923,21.9706118730822
"323",484,14.0780964296154
"324",2127,25.2931546577814
