"Individual","Age","Male","IndError","Error","Size"
1,1,0,-1.68142693965664,1.22408179743946,11.0426548577828
1,2,0,-1.68142693965664,1.58389562449683,12.9024686848402
1,3,0,-1.68142693965664,1.98466707509088,14.8032401354342
1,4,0,-1.68142693965664,2.095349791036,16.4139228513794
1,5,0,-1.68142693965664,1.53950865628192,17.3580817166253
1,6,0,-1.68142693965664,3.326421793085,20.6449948534284
1,7,0,-1.68142693965664,3.82427227131424,22.6428453316576
1,8,0,-1.68142693965664,1.8576551146846,22.176228175028
1,9,0,-1.68142693965664,2.55901101624829,24.3775840765916
1,10,0,-1.68142693965664,2.08621960852035,25.4047926688637
2,1,0,-0.69053246844984,1.01839590253351,11.8278634340837
2,2,0,-0.69053246844984,0.800420987875213,13.1098885194254
2,3,0,-0.69053246844984,-0.225583460432027,13.5838840711181
2,4,0,-0.69053246844984,-0.954474689723167,14.354992841827
2,5,0,-0.69053246844984,-1.57951395757242,15.2299535739777
2,6,0,-0.69053246844984,-3.26620726831484,15.0432602632353
2,7,0,-0.69053246844984,-2.42842022382031,17.3810473077298
2,8,0,-0.69053246844984,-2.2750471059838,19.0344204255664
2,9,0,-0.69053246844984,-3.41318404299574,19.3962834885544
2,10,0,-0.69053246844984,-2.15936912192582,22.1500984096243
3,1,0,4.67612494244737,-1.732904900449,14.4432200419984
3,2,0,4.67612494244737,-2.02797638344128,15.6481485590061
3,3,0,4.67612494244737,-1.13285072239625,18.0432742200511
3,4,0,4.67612494244737,-0.254717234863211,20.4214077075842
3,5,0,4.67612494244737,0.566863846774276,22.7429887892216
3,6,0,4.67612494244737,1.25550410087437,24.9316290433217
3,7,0,4.67612494244737,1.80942175441196,26.9855466968593
3,8,0,4.67612494244737,1.74751004383523,28.4236349862826
3,9,0,4.67612494244737,1.44154738009532,29.6176723225427
3,10,0,4.67612494244737,1.06107637908293,30.7372013215303
4,1,0,0.211525174273728,0.366369400162422,12.0778945744361
4,2,0,0.211525174273728,0.158452122142823,13.3699772964166
4,3,0,0.211525174273728,-1.10694422942544,13.6045809448483
4,4,0,0.211525174273728,1.06201173591307,17.2735369101868
4,5,0,0.211525174273728,2.26997373421806,19.9814989084918
4,6,0,0.211525174273728,1.14686515101471,20.3583903252884
4,7,0,0.211525174273728,0.743980315715637,21.4555054899894
4,8,0,0.211525174273728,0.277324962092418,22.4888501363661
4,9,0,0.211525174273728,1.05729008042874,24.7688152547025
4,10,0,0.211525174273728,0.973921013956906,26.1854461882306
5,1,0,0.387863205482839,1.22723952795166,13.1151027334345
5,2,0,0.387863205482839,1.19869277260296,14.5865559780858
5,3,0,0.387863205482839,1.15582231531164,16.0436855207945
5,4,0,0.387863205482839,2.5244245993261,18.9122878048089
5,5,0,0.387863205482839,2.29865361366683,20.1865168191497
5,6,0,0.387863205482839,3.81512421809637,23.2029874235792
5,7,0,0.387863205482839,2.26637141386615,23.154234619349
5,8,0,0.387863205482839,2.85098516350222,25.2388483689851
5,9,0,0.387863205482839,2.97483940734683,26.8627026128297
5,10,0,0.387863205482839,3.19078097609081,28.5786441815736
6,1,1,5.14519496064984,3.57042045885069,24.2156154195005
6,2,1,5.14519496064984,3.06809700574139,24.2132919663912
6,3,1,5.14519496064984,2.73488962207197,24.3800845827218
6,4,1,5.14519496064984,1.71631423896488,23.8615091996147
6,5,1,5.14519496064984,0.6445230124893,23.2897179731391
6,6,1,5.14519496064984,0.948051653893558,24.0932466145434
6,7,1,5.14519496064984,1.39626143252298,25.0414563931728
6,8,1,5.14519496064984,1.44926565925349,25.5944606199033
6,9,1,5.14519496064984,2.37153312713323,27.0167280877831
6,10,1,5.14519496064984,4.42161781276037,29.5668127734102
7,1,1,1.38274861796761,3.93058664670384,20.8133352646714
7,2,1,1.38274861796761,1.62141777106302,19.0041663890306
7,3,1,1.38274861796761,2.62715629552528,20.5099049134929
7,4,1,1.38274861796761,1.91795553294289,20.3007041509105
7,5,1,1.38274861796761,1.22994691647553,20.1126955344431
7,6,1,1.38274861796761,2.25551828617223,21.6382669041398
7,7,1,1.38274861796761,1.97074527912122,21.8534938970888
7,8,1,1.38274861796761,0.750027566866683,21.1327761848343
7,9,1,1.38274861796761,0.931331046615833,21.8140796645834
7,10,1,1.38274861796761,0.792439684176789,22.1751883021444
8,1,1,-3.7951837038196,0.798203870076676,12.5030201662571
8,2,1,-3.7951837038196,1.18348427120301,13.3883005673834
8,3,1,-3.7951837038196,0.812824239410597,13.517640535591
8,4,1,-3.7951837038196,1.45720078792943,14.6620170841098
8,5,1,-3.7951837038196,1.23671422611068,14.9415305222911
8,6,1,-3.7951837038196,1.56849619002638,15.7733124862068
8,7,1,-3.7951837038196,2.66533520317572,17.3701514993561
8,8,1,-3.7951837038196,3.10051669400953,18.3053329901899
8,9,1,-3.7951837038196,2.7745851084783,18.4794014046587
8,10,1,-3.7951837038196,3.92339272692939,20.1282090231098
9,1,1,-2.06055855568058,4.91689658289151,18.3563380272109
9,2,1,-2.06055855568058,5.46529354239958,19.404734986719
9,3,1,-2.06055855568058,5.70402527751102,20.1434667218304
9,4,1,-2.06055855568058,5.07611920147165,20.0155606457911
9,5,1,-2.06055855568058,6.43677165000166,21.8762130943211
9,6,1,-2.06055855568058,5.83651206285453,21.775953507174
9,7,1,-2.06055855568058,8.02384505587111,24.4632865001905
9,8,1,-2.06055855568058,9.5564556820563,26.4958971263757
9,9,1,-2.06055855568058,9.32075532295582,26.7601967672752
9,10,1,-2.06055855568058,8.29433442264904,26.2337758669685
10,1,1,-1.33698591029987,7.58392785894974,21.7469419486499
10,2,1,-1.33698591029987,7.84081156810627,22.5038256578064
10,3,1,-1.33698591029987,7.5941196896439,22.757133779344
10,4,1,-1.33698591029987,7.24657709024616,22.9095911799463
10,5,1,-1.33698591029987,6.29495852298115,22.4579726126813
10,6,1,-1.33698591029987,6.24993079817223,22.9129448878724
10,7,1,-1.33698591029987,5.46502632871515,22.6280404184153
10,8,1,-1.33698591029987,3.79708439212701,21.4600984818271
10,9,1,-1.33698591029987,3.41685787183925,21.5798719615394
10,10,1,-1.33698591029987,4.33585448090002,22.9988685706001
