"River","Distance","RiverError","Error","Pollution"
1,1,-2.80237823276106,1.22408179743946,146.421703564678
1,2,-2.80237823276106,1.58389562449683,144.781517391736
1,3,-2.80237823276106,1.98466707509088,143.18228884233
1,4,-2.80237823276106,2.095349791036,141.292971558275
1,5,-2.80237823276106,1.53950865628192,138.737130423521
1,6,-2.80237823276106,3.326421793085,138.524043560324
1,7,-2.80237823276106,3.82427227131424,137.021894038553
1,8,-2.80237823276106,1.8576551146846,133.055276881924
1,9,-2.80237823276106,2.55901101624829,131.756632783487
1,10,-2.80237823276106,2.08621960852035,129.283841375759
2,1,-1.1508874474164,1.01839590253351,147.867508455117
2,2,-1.1508874474164,0.800420987875213,145.649533540459
2,3,-1.1508874474164,-0.225583460432027,142.623529092152
2,4,-1.1508874474164,-0.954474689723167,139.89463786286
2,5,-1.1508874474164,-1.57951395757242,137.269598595011
2,6,-1.1508874474164,-3.26620726831484,133.582905284269
2,7,-1.1508874474164,-2.42842022382031,132.420692328763
2,8,-1.1508874474164,-2.2750471059838,130.5740654466
2,9,-1.1508874474164,-3.41318404299574,127.435928509588
2,10,-1.1508874474164,-2.15936912192582,126.689743430658
3,1,7.79354157074562,-1.732904900449,154.060636670297
3,2,7.79354157074562,-2.02797638344128,151.765565187304
3,3,7.79354157074562,-1.13285072239625,150.660690848349
3,4,7.79354157074562,-0.254717234863211,149.538824335882
3,5,7.79354157074562,0.566863846774276,148.36040541752
3,6,7.79354157074562,1.25550410087437,147.04904567162
3,7,7.79354157074562,1.80942175441196,145.602963325158
3,8,7.79354157074562,1.74751004383523,143.541051614581
3,9,7.79354157074562,1.44154738009532,141.235088950841
3,10,7.79354157074562,1.06107637908293,138.854617949829
4,1,0.35254195712288,0.366369400162422,148.718911357285
4,2,0.35254195712288,0.158452122142823,146.510994079266
4,3,0.35254195712288,-1.10694422942544,143.245597727697
4,4,0.35254195712288,1.06201173591307,143.414553693036
4,5,0.35254195712288,2.26997373421806,142.622515691341
4,6,0.35254195712288,1.14686515101471,139.499407108138
4,7,0.35254195712288,0.743980315715637,137.096522272839
4,8,0.35254195712288,0.277324962092418,134.629866919215
4,9,0.35254195712288,1.05729008042874,133.409832037552
4,10,0.35254195712288,0.973921013956906,131.32646297108
5,1,0.646438675804731,1.22723952795166,149.873678203756
5,2,0.646438675804731,1.19869277260296,147.845131448408
5,3,0.646438675804731,1.15582231531164,145.802260991116
5,4,0.646438675804731,2.5244245993261,145.170863275131
5,5,0.646438675804731,2.29865361366683,142.945092289472
5,6,0.646438675804731,3.81512421809637,142.461562893901
5,7,0.646438675804731,2.26637141386615,138.912810089671
5,8,0.646438675804731,2.85098516350222,137.497423839307
5,9,0.646438675804731,2.97483940734683,135.621278083152
5,10,0.646438675804731,3.19078097609081,133.837219651896
6,1,8.57532493441641,3.57042045885069,160.145745393267
6,2,8.57532493441641,3.06809700574139,157.643421940158
6,3,8.57532493441641,2.73488962207197,155.310214556488
6,4,8.57532493441641,1.71631423896488,152.291639173381
6,5,8.57532493441641,0.6445230124893,149.219847946906
6,6,8.57532493441641,0.948051653893558,147.52337658831
6,7,8.57532493441641,1.39626143252298,145.971586366939
6,8,8.57532493441641,1.44926565925349,144.02459059367
6,9,8.57532493441641,2.37153312713323,142.94685806155
6,10,8.57532493441641,4.42161781276037,142.996942747177
7,1,2.30458102994601,3.93058664670384,154.23516767665
7,2,2.30458102994601,1.62141777106302,149.925998801009
7,3,2.30458102994601,2.62715629552528,148.931737325471
7,4,2.30458102994601,1.91795553294289,146.222536562889
7,5,2.30458102994601,1.22994691647553,143.534527946422
7,6,2.30458102994601,2.25551828617223,142.560099316118
7,7,2.30458102994601,1.97074527912122,140.275326309067
7,8,2.30458102994601,0.750027566866683,137.054608596813
7,9,2.30458102994601,0.931331046615833,135.235912076562
7,10,2.30458102994601,0.792439684176789,133.097020714123
8,1,-6.32530617303267,0.798203870076676,142.472897697044
8,2,-6.32530617303267,1.18348427120301,140.85817809817
8,3,-6.32530617303267,0.812824239410597,138.487518066378
8,4,-6.32530617303267,1.45720078792943,137.131894614897
8,5,-6.32530617303267,1.23671422611068,134.911408053078
8,6,-6.32530617303267,1.56849619002638,133.243190016994
8,7,-6.32530617303267,2.66533520317572,132.340029030143
8,8,-6.32530617303267,3.10051669400953,130.775210520977
8,9,-6.32530617303267,2.7745851084783,128.449278935446
8,10,-6.32530617303267,3.92339272692939,127.598086553897
9,1,-3.43426425946763,4.91689658289151,149.482632323424
9,2,-3.43426425946763,5.46529354239958,148.031029282932
9,3,-3.43426425946763,5.70402527751102,146.269761018043
9,4,-3.43426425946763,5.07611920147165,143.641854942004
9,5,-3.43426425946763,6.43677165000166,143.002507390534
9,6,-3.43426425946763,5.83651206285453,140.402247803387
9,7,-3.43426425946763,8.02384505587111,140.589580796403
9,8,-3.43426425946763,9.5564556820563,140.122191422589
9,9,-3.43426425946763,9.32075532295582,137.886491063488
9,10,-3.43426425946763,8.29433442264904,134.860070163181
10,1,-2.22830985049979,7.58392785894974,153.35561800845
10,2,-2.22830985049979,7.84081156810627,151.612501717606
10,3,-2.22830985049979,7.5941196896439,149.365809839144
10,4,-2.22830985049979,7.24657709024616,147.018267239746
10,5,-2.22830985049979,6.29495852298115,144.066648672481
10,6,-2.22830985049979,6.24993079817223,142.021620947672
10,7,-2.22830985049979,5.46502632871515,139.236716478215
10,8,-2.22830985049979,3.79708439212701,135.568774541627
10,9,-2.22830985049979,3.41685787183925,133.188548021339
10,10,-2.22830985049979,4.33585448090002,132.1075446304
