"Field","Treatment","FieldXTreatError","FieldError","Error","Biomass"
1,0,5.36073941040923,-2.80237823276106,0.426464221476814,22.6240859887157
1,0,5.36073941040923,-2.80237823276106,-0.295071482992271,21.9025502842467
1,1,5.36073941040923,-2.80237823276106,0.895125661045022,38.4534868386932
1,1,5.36073941040923,-2.80237823276106,0.878133487533042,38.4364946651812
2,0,1.49355143468772,-1.1508874474164,0.821581081637487,24.6706936342211
2,0,1.49355143468772,-1.1508874474164,0.688640254100091,24.5377528066837
2,1,1.49355143468772,-1.1508874474164,0.553917653537589,35.8965816408089
2,1,1.49355143468772,-1.1508874474164,-0.0619117105767217,35.2807522766946
3,0,-5.89985146988891,7.79354157074562,-0.305962663739917,32.4875789070057
3,0,-5.89985146988891,7.79354157074562,-0.380471001012383,32.4130705697332
3,1,-5.89985146988891,7.79354157074562,-0.694706978920513,36.1989831219362
3,1,-5.89985146988891,7.79354157074562,-0.207917278019599,36.6857728228371
4,0,2.10406770469106,0.35254195712288,-1.26539635156826,24.0871456055546
4,0,2.10406770469106,0.35254195712288,2.16895596533851,27.5214979224614
4,1,2.10406770469106,0.35254195712288,1.20796199830499,38.6645716601189
4,1,2.10406770469106,0.35254195712288,-1.12310858320335,36.3335010786106
5,0,-1.4183742231838,0.646438675804731,-0.402884835299076,25.2435538405057
5,0,-1.4183742231838,0.646438675804731,-0.466655353623219,25.1797833221815
5,1,-1.4183742231838,0.646438675804731,0.779965118336318,35.0080295709572
5,1,-1.4183742231838,0.646438675804731,-0.0833690664718293,34.1446953861491
6,0,-3.20347111796054,8.57532493441641,0.253318513994755,33.8286434484112
6,0,-3.20347111796054,8.57532493441641,-0.028546755348703,33.5467781790677
6,1,-3.20347111796054,8.57532493441641,-0.0428704572913161,40.3289833591646
6,1,-3.20347111796054,8.57532493441641,1.36860228401446,41.7404561004703
7,0,-0.653924743974885,2.30458102994601,-0.225770985659268,27.0788100442867
7,0,-0.653924743974885,2.30458102994601,1.51647060442954,28.8210516343756
7,1,-0.653924743974885,2.30458102994601,-1.54875280423022,35.1019034817409
7,1,-0.653924743974885,2.30458102994601,0.584613749636069,37.2352700356072
8,0,-3.07801334492172,-6.32530617303267,0.123854243844614,18.7985480708119
8,0,-3.07801334492172,-6.32530617303267,0.215941568743973,18.8906353957113
8,1,-3.07801334492172,-6.32530617303267,0.379639482759882,25.9763199648055
8,1,-3.07801334492172,-6.32530617303267,-0.502323453109302,25.0943570289363
9,0,-2.18667368787342,-3.43426425946763,-0.33320738366942,21.2325283568629
9,0,-2.18667368787342,-3.43426425946763,-1.01857538310709,20.5471603574253
9,1,-2.18667368787342,-3.43426425946763,-1.07179122647558,28.3072708261834
9,1,-2.18667368787342,-3.43426425946763,0.303528641404258,29.6825906940632
10,0,-1.87511780354777,-2.22830985049979,0.448209778629426,23.2198999281296
10,0,-1.87511780354777,-2.22830985049979,0.0530042267305041,22.8246943762307
10,1,-1.87511780354777,-2.22830985049979,0.922267467879738,31.8188398138322
10,1,-1.87511780354777,-2.22830985049979,2.05008468562714,32.9466570315796
11,0,-5.06007993222724,6.12040898719731,-0.491031166056535,30.6293778211408
11,0,-5.06007993222724,6.12040898719731,-2.30916887564081,28.8112401115565
11,1,-5.06007993222724,6.12040898719731,1.00573852446226,37.0660675794323
11,1,-5.06007993222724,6.12040898719731,-0.709200762582393,35.3511282923877
12,0,2.51336113348357,1.79906913528682,-0.688008616467358,26.1110605188195
12,0,2.51336113348357,1.79906913528682,1.0255713696967,27.8246405049835
12,1,2.51336113348357,1.79906913528682,-0.284773007051009,39.0276572617194
12,1,2.51336113348357,1.79906913528682,-1.22071771225454,38.0917125565159
13,0,0.460119353509546,2.00385725297026,0.18130347974915,27.1851607327194
13,0,0.460119353509546,2.00385725297026,-0.138891362439045,26.8649658905312
13,1,0.460119353509546,2.00385725297026,0.00576418589988693,37.4697407923797
13,1,0.460119353509546,2.00385725297026,0.38528040112633,37.8492570076061
14,0,-3.41441081103584,0.553413579725599,-0.370660031792409,25.1827535479332
14,0,-3.41441081103584,0.553413579725599,0.644376548518833,26.1977901282444
14,1,-3.41441081103584,0.553413579725599,-0.220486561818751,31.918516206871
14,1,-3.41441081103584,0.553413579725599,0.331781963915697,32.4707847326055
15,0,3.76144476320978,-2.77920567377037,1.09683901314935,23.317633339379
15,0,3.76144476320978,-2.77920567377037,0.435181490833803,22.6559758170634
15,1,3.76144476320978,-2.77920567377037,-0.325931585531227,35.6563075039082
15,1,3.76144476320978,-2.77920567377037,1.14880761845109,37.1310467078905
