"Bison","Biomass"
0,6.11761035580685
0,5.83463206418665
0,5.84418808801062
0,4.84882717078531
0,5.91456197769307
0,6.07013911255162
0,5.25128667221744
0,5.49490579047431
1,4.72576219752378
1,4.95301889138245
1,5.11316293601471
1,4.99670060997967
1,6.12281813190354
1,5.39702705498725
1,5.59876425063076
1,4.41666731990721
2,4.3570744955887
2,4.22043025938111
2,3.80319551671813
2,4.58209336851111
2,4.58083122579414
2,4.57348218505678
2,4.49486826334464
2,4.32021159723061
3,3.76327461921593
3,3.89912710119674
3,2.67923284996878
3,4.95902779977088
3,3.69562219522865
3,2.94935196736084
3,2.04339134935244
3,3.12932130236033
4,3.50012939083368
4,1.98976498582546
4,1.66700202144699
4,3.38149679459032
4,2.74192247965176
4,2.96712800468738
4,2.48957094681543
4,2.14507754575957
